1:0,2:0,3:0,
1:1,2:1,3:0,
1:2,2:1,3:1,
1:2,2:2,3:2,
1:3,2:2,3:3,
1:3,2:3,3:4,
1:4,2:3,3:5,
1:5,2:4,3:5,
1:6,2:4,3:6,
1:7,2:5,3:6,
1:8,2:5,3:7,
1:8,2:6,3:8,
1:9,2:7,3:8,
1:9,2:8,3:9,
1:10,2:9,3:9,
1:10,2:10,3:10,
1:11,2:9,3:10,
1:11,2:9,3:10,
1:12,2:8,3:10,
1:13,2:8,3:9,
1:13,2:9,3:8,
1:14,2:9,3:7,
1:15,2:9,3:6,
1:16,2:8,3:6,
1:17,2:7,3:6,
1:17,2:7,3:6,
1:17,2:7,3:6,
1:16,2:8,3:6,
1:16,2:8,3:6,
1:16,2:8,3:6,
1:15,2:8,3:7,
1:15,2:8,3:7,
1:15,2:8,3:7,
1:16,2:8,3:6,
1:16,2:8,3:6,
1:16,2:7,3:7,
1:16,2:7,3:7,
1:17,2:6,3:7,
1:17,2:6,3:7,
1:16,2:7,3:7,
1:15,2:8,3:7,
1:15,2:8,3:7,
1:15,2:8,3:7,
1:16,2:8,3:6,
1:16,2:8,3:6,
1:15,2:8,3:7,
1:15,2:8,3:7,
1:15,2:8,3:7,
1:15,2:8,3:7,
1:15,2:8,3:7,
1:16,2:7,3:7,
1:15,2:8,3:7,
1:15,2:8,3:7,
1:15,2:8,3:7,
1:15,2:8,3:7,
1:15,2:8,3:7,
1:16,2:8,3:6,
1:16,2:8,3:6,
1:17,2:7,3:6,
1:17,2:7,3:6,
1:17,2:6,3:7,
1:17,2:6,3:7,
1:16,2:7,3:7,
1:16,2:8,3:6,
1:16,2:8,3:6,
1:15,2:8,3:7,
1:16,2:8,3:6,
1:16,2:8,3:6,
1:16,2:8,3:6,
1:16,2:8,3:6,
1:16,2:8,3:6,
1:15,2:8,3:7,
1:15,2:8,3:7,
1:16,2:7,3:7,
1:15,2:8,3:7,
1:15,2:8,3:7,
1:15,2:8,3:7,
1:15,2:8,3:7,
1:15,2:8,3:7,
1:16,2:8,3:6,
1:16,2:8,3:6,
1:17,2:7,3:6,
1:17,2:7,3:6,
1:17,2:6,3:7,
1:17,2:6,3:7,
1:16,2:7,3:7,
1:16,2:8,3:6,
1:16,2:8,3:6,
1:15,2:8,3:7,
1:16,2:8,3:6,
1:16,2:8,3:6,
1:16,2:8,3:6,
1:16,2:8,3:6,
1:16,2:8,3:6,
1:0,2:8,3:7,
1:0,2:10,3:7,
1:0,2:12,3:7,
1:0,2:13,3:7,
1:0,2:13,3:9,
1:0,2:13,3:11,
1:0,2:13,3:12,
